,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,1978,Z10 - Lote A,2,84,"27,0",1199,"639,7340354","23,7","1,3","0,84","7,41",2025-06-20,2025-07-11
,1979,Z13 - Lote N,1,276,"42,6",1196,"603,3055139","28,9","1,6","0,87","8,52",2025-06-20,2025-07-11
,1981,Z10 - Lote A,2,107,"26,0",1195,"637,2463332","23,4","1,2","0,83","7,31",2025-06-20,2025-07-11
,1982,Z11 - Lote B,2,83,"46,0",1194,"639,7879967","30,0","1,7","0,89","8,78",2025-06-20,2025-07-11
,1983,Z10 - Lote A,2,132,"53,0",1189,"632,9237162","32,3","1,8","0,90","9,14",2025-06-20,2025-07-11
,1987,Z14 - Lote C,2,56,"44,5",1183,"638,477604","29,1","1,7","0,90","8,82",2025-06-20,2025-07-11
,1988,Z10 - Lote A,2,64,"53,0",1182,"639,5253044","32,1","1,8","0,91","9,22",2025-06-20,2025-07-11
,1989,Z13 - Lote N,1,455,"42,9",1180,"600,347025","28,9","1,7","0,87","8,55",2025-06-20,2025-07-11
,1993,Z10 - Lote A,2,84,"41,0",1176,"639,7340353","28,4","1,6","0,88","8,48",2025-06-20,2025-07-11
,1997,Z14 - Lote C,1,330,"16,0",1165,"601,7220482","19,9","0,9","0,77","6,16",2025-06-20,2025-07-11
,1998,Z13 - Lote N,1,341,"40,0",1163,"601,5024144","28,0","1,6","0,86","8,36",2025-06-20,2025-07-11
,2000,Z13 - Lote N,1,239,"32,9",1163,"605,0575663","25,7","1,4","0,84","7,84",2025-06-20,2025-07-11
,2003,Z14 - Lote C,2,86,"46,0",1160,"639,6096177","30,1","1,7","0,89","8,78",2025-06-20,2025-07-11
,2004,Z19 - Lote D,1,398,"25,0",1159,"600,7295842","22,9","1,2","0,81","7,17",2025-05-25,2025-07-11
,2005,Z10 - Lote A,2,89,"54,0",1158,"639,3840548","32,7","1,8","0,91","9,19",2025-06-20,2025-07-11
,2006,Z14 - Lote C,2,60,"44,0",1157,"639,0848878","29,1","1,7","0,90","8,76",2025-06-20,2025-07-11
,2007,Z10 - Lote A,2,79,"57,0",1157,"639,9450935","33,7","1,9","0,91","9,34",2025-06-20,2025-07-11
,2010,Z14 - Lote C,2,59,"50,0",1157,"638,9493509","31,0","1,8","0,91","9,10",2025-06-20,2025-07-11
,2011,Z14 - Lote C,1,378,"29,5",1155,"600,9425693","24,4","1,3","0,83","7,58",2025-05-25,2025-07-11
,2009,Z19 - Lote D,2,75,"23,0",1157,"639,9999996","22,3","1,1","0,83","7,05",2025-06-20,2025-07-11
,2012,Z10 - Lote A,2,97,"47,0",1151,"638,581349","30,4","1,7","0,89","8,82",2025-06-20,2025-07-11
,2014,Z10 - Lote A,2,80,"51,0",1149,"639,9149642","31,7","1,8","0,90","9,05",2025-06-20,2025-07-11
